doc	start	end	link	type	surfaceForm	tac	errorType	errorCause	inGold	goldLink	Spotlight	Babelnet	Aida	Recognyze	Comments
47	226	239	http://de.dbpedia.org/resource/Füchse_Berlin_Reinickendorf	Organisation	Füchse Berlin	wrong-link	Annotator		1	http://de.dbpedia.org/resource/Füchse_Berlin	1	0	0	0	
47	957	962	http://de.dbpedia.org/resource/Sonne	Location	Sonne	extra	Dataset	Missing Annotation	0		1	0	0	0	
47	485	495	http://de.dbpedia.org/resource/SV_Babelsberg_03	Organisation	Babelsberg	extra	Dataset	Missing Annotation	0		1	0	0	0	
47	352	364	http://de.dbpedia.org/resource/Metropolregion_Rhein-Neckar	Location	Rhein-Neckar	extra	Dataset	Missing Annotation	0		1	0	0	0	
44	555	566	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Dataset	Missing Annotation	0		1	0	0	1	
44	819	830	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Dataset	Missing Annotation	0		1	0	0	1	
45	253	256	http://de.dbpedia.org/resource/Rundfunk_Berlin-Brandenburg	Location	RBB	extra	Dataset	Missing Annotation	0		1	0	0	0	organisation?
43	507	513	http://de.dbpedia.org/resource/Aphrodite	Person	Urania	wrong-link	Annotator		1	http://de.dbpedia.org/resource/Urania_(Berlin)	1	0	0	0	
43	1493	1503	http://de.dbpedia.org/resource/Stahnsdorf	Location	Stahnsdorf	extra	Dataset	Missing Annotation	0		1	0	0	0	
40	1010	1028	http://de.dbpedia.org/resource/Generalbundesanwalt_beim_Bundesgerichtshof	Organisation	Bundesanwaltschaft	wrong-link	Annotator		1	http://de.dbpedia.org/resource/Bundesanwaltschaft	1	0	0	0	
40	1594	1612	http://de.dbpedia.org/resource/Generalbundesanwalt_beim_Bundesgerichtshof	Organisation	Bundesanwaltschaft	wrong-link	Annotator		1	http://de.dbpedia.org/resource/Bundesanwaltschaft	1	0	0	0	
40	1527	1545	http://de.dbpedia.org/resource/Generalbundesanwalt_beim_Bundesgerichtshof	Organisation	Bundesanwaltschaft	wrong-link	Annotator		1	http://de.dbpedia.org/resource/Bundesanwaltschaft	1	0	0	0	
40	1271	1285	http://de.dbpedia.org/resource/Bundesagentur_für_Arbeit	Organisation	Arbeitsagentur	extra	Dataset	Missing Annotation	0		1	0	0	0	
41	978	985	http://de.dbpedia.org/resource/Charité	Location	Charite	extra	Dataset	Missing Annotation	0		1	0	0	0	
1	701	712	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Dataset	Missing Annotation	0		1	0	0	1	
1	36	45	http://de.dbpedia.org/resource/Havelland	Location	Havelland	extra	Dataset	Missing Annotation	0		1	0	0	1	
5	98	106	http://de.dbpedia.org/resource/Schweden	Location	Schweden	extra	Dataset	Missing Annotation	0		1	0	0	0	
9	1105	1111	http://de.dbpedia.org/resource/Berlin	Location	Berlin	wrong-link	Dataset	Annotated to Different Language	1	http://dbpedia.org/resource/Berlin	1	0	0	1	
9	230	236	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Dataset	Missing Annotation	0		1	0	0	1	
9	963	975	http://de.dbpedia.org/resource/Niederlande	Location	Niederlanden	extra	Dataset	Missing Annotation	0		1	0	0	1	
10	1105	1109	http://de.dbpedia.org/resource/Dazu	Location	Dazu	extra	Annotator		0		0	0	0	1	
10	182	196	http://de.dbpedia.org/resource/Bertolt_Brecht	Person	Bertolt Brecht	extra	Annotator		0		0	0	0	1	
10	435	441	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
11	336	351	http://de.dbpedia.org/resource/Heinrich_Scholl	Person	Heinrich Scholl	extra	Dataset	Missing Annotation	0		0	0	0	1	
11	648	663	http://de.dbpedia.org/resource/Heinrich_Scholl	Person	Heinrich Scholl	extra	Dataset	Missing Annotation	0		0	0	0	1	
11	904	908	http://de.dbpedia.org/resource/Mann_(Rapper)	Person	Mann	extra	Annotator		0		0	0	0	1	
12	1421	1424	http://de.dbpedia.org/resource/360_(Rapper)	Person	360	extra	Annotator		0		0	0	0	1	
12	193	204	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Annotator		0		0	0	0	1	
12	2585	2596	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Annotator		0		0	0	0	1	
12	3374	3385	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Annotator		0		0	0	0	1	
15	895	899	http://de.dbpedia.org/resource/2009	Location	2009	extra	KB	Wrong Type	0		0	0	0	1	
16	1244	1254	http://de.dbpedia.org/resource/Hans_Peter	Person	Hans Peter	extra	Annotator		0		0	0	0	1	
17	620	632	http://de.dbpedia.org/resource/Simon_Rattle	Person	Simon Rattle	extra	Dataset	Missing Annotation	0		0	0	0	1	
18	1492	1495	http://de.dbpedia.org/resource/Den_(König)	Person	Den	extra	Annotator		0		0	0	0	1	
18	1504	1513	http://de.dbpedia.org/resource/Hany_Azer	Person	Hany Azer	extra	Dataset	Missing Annotation	0		0	0	0	1	
18	1529	1541	http://de.dbpedia.org/resource/Hauptbahnhof	Location	Hauptbahnhof	wrong-link	Annotator		1	http://de.dbpedia.org/resource/Berlin_Hauptbahnhof	0	0	0	1	
19	12	18	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Dataset	Missing Annotation	0		0	0	0	1	
19	229	235	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
19	926	932	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
21	1116	1134	http://de.dbpedia.org/resource/Regine_Hildebrandt	Person	Regine Hildebrandt	extra	Annotator		0		0	0	0	1	
21	28	41	http://de.dbpedia.org/resource/Johanna_Wanka	Person	Johanna Wanka	extra	Dataset	Wrong Annotation	0		0	0	0	1	
21	726	735	http://de.dbpedia.org/resource/Gabelmann	Location	Gabelmann	extra	Annotator		0		0	0	0	1	
23	1129	1133	http://de.dbpedia.org/resource/Mann_(Rapper)	Person	Mann	extra	Annotator		0		0	0	0	1	
23	283	288	http://de.dbpedia.org/resource/Nacht_(Obervermögensverwalter)	Person	Nacht	extra	Annotator		0		0	0	0	1	
24	268	276	http://de.dbpedia.org/resource/Friedhof	Location	Friedhof	extra	Dataset	Missing Annotation	0		0	0	0	1	
24	711	719	http://de.dbpedia.org/resource/Friedhof	Location	Friedhof	extra	Dataset	Missing Annotation	0		0	0	0	1	
25	1285	1289	http://de.dbpedia.org/resource/Dazu	Location	Dazu	extra	Annotator		0		0	0	0	1	
26	1203	1212	http://de.dbpedia.org/resource/Kraftwerk	Location	Kraftwerk	extra	Annotator		0		0	0	0	1	
26	1589	1600	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Annotator		0		0	0	0	1	
26	690	696	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
27	93	99	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
28	311	324	http://de.dbpedia.org/resource/Andreas_Rauch	Person	Andreas Rauch	extra	Annotator		0		0	0	0	1	
28	955	961	http://de.dbpedia.org/resource/Marken	Location	Marken	extra	Annotator		0		0	0	0	1	
29	2362	2365	http://de.dbpedia.org/resource/Den_(König)	Person	Den	extra	Annotator		0		0	0	0	1	
32	38	59	http://de.dbpedia.org/resource/Straße_der_Erinnerung	Location	Straße der Erinnerung	extra	Dataset	Missing Annotation	0		0	0	0	1	
32	96	110	http://de.dbpedia.org/resource/Käthe_Kollwitz	Person	Käthe Kollwitz	extra	Dataset	Missing Annotation	0		0	0	0	1	
34	1349	1355	http://de.dbpedia.org/resource/Bayern	Location	Bayern	extra	Annotator		0		0	0	0	1	
34	834	845	http://de.dbpedia.org/resource/Brandenburg	Location	Brandenburg	extra	Dataset	Missing Annotation	0		0	0	0	1	
34	938	944	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
35	47	53	http://de.dbpedia.org/resource/Leider	Location	Leider	extra	Annotator		0		0	0	0	1	
37	230	245	http://de.dbpedia.org/resource/Matthias_Möller	Person	Matthias Möller	extra	Dataset	Missing Annotation	0		0	0	0	1	
3	1145	1160	http://de.dbpedia.org/resource/Benjamin_Köhler	Person	Benjamin Köhler	wrong-link	Annotator	Anomaly	1	http://dbpedia.org/resource/Benjamin_Köhler	0	0	0	1	
3	559	565	http://de.dbpedia.org/resource/Berlin	Location	Berlin	wrong-link	Annotator		1	http://de.dbpedia.org/resource/Berlin	0	0	0	1	
3	742	748	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
40	1147	1151	http://de.dbpedia.org/resource/2009	Location	2009	extra	KB	Wrong Type	0		0	0	0	1	
41	2798	2805	http://de.dbpedia.org/resource/Gotfrid	Person	Gotfrid	extra	Annotator		0		0	0	0	1	
41	700	707	http://de.dbpedia.org/resource/Gotfrid	Person	Gotfrid	extra	Annotator		0		0	0	0	1	
42	1732	1735	http://de.dbpedia.org/resource/Den_(König)	Person	Den	extra	Annotator		0		0	0	0	1	
42	519	529	http://de.dbpedia.org/resource/Regenbogen_(Spruchdichter)	Person	Regenbogen	extra	Annotator		0		0	0	0	1	
42	601	611	http://de.dbpedia.org/resource/Regenbogen_(Spruchdichter)	Person	Regenbogen	extra	Annotator		0		0	0	0	1	
43	1815	1819	http://de.dbpedia.org/resource/Dazu	Location	Dazu	extra	Annotator		0		0	0	0	1	
46	575	579	http://de.dbpedia.org/resource/Dazu	Location	Dazu	extra	Annotator		0		0	0	0	1	
47	233	239	http://de.dbpedia.org/resource/Berlin	Location	Berlin	extra	Annotator		0		0	0	0	1	
47	485	495	http://de.dbpedia.org/resource/Babelsberg	Location	Babelsberg	extra	Annotator		0		0	0	0	1	
47	876	881	http://de.dbpedia.org/resource/Nacht_(Obervermögensverwalter)	Person	Nacht	extra	Annotator		0		0	0	0	1	
49	200	204	http://de.dbpedia.org/resource/Mann_(Rapper)	Person	Mann	extra	Annotator		0		0	0	0	1	
49	553	568	http://de.dbpedia.org/resource/Dagmar_Frederic	Person	Dagmar Frederic	extra	Dataset	Wrong Annotation	0		0	0	0	1	
49	650	660	http://de.dbpedia.org/resource/Carl_Thiem	Person	Carl Thiem	extra	Annotator		0		0	0	0	1	
4	1354	1358	http://de.dbpedia.org/resource/Mann_(Rapper)	Person	Mann	extra	Annotator		0		0	0	0	1	
4	1467	1471	http://de.dbpedia.org/resource/Mann_(Rapper)	Person	Mann	extra	Annotator		0		0	0	0	1	
5	216	219	http://de.dbpedia.org/resource/Den_(König)	Person	Den	extra	Annotator		0		0	0	0	1	
6	1084	1089	http://de.dbpedia.org/resource/Demos_(Platon)	Person	Demos	extra	Annotator		0		0	0	0	1	
6	140	149	http://de.dbpedia.org/resource/Mauerpark	Location	Mauerpark	extra	Annotator		0		0	0	0	1	
8	130	136	http://de.dbpedia.org/resource/Leider	Location	Leider	extra	Annotator		0		0	0	0	1	
8	323	327	http://de.dbpedia.org/resource/Seen_(Graffitikünstler)	Person	Seen	extra	Annotator		0		0	0	0	1	
